"team","year","wins","salary"
"Houston Astros",2007,73,"87759000"
"Houston Astros",2008,86,"88930414"
"Houston Astros",2009,74,"102996414"
"Houston Astros",2010,76,"92355500"
"Houston Astros",2011,56,"70694000"
"Houston Astros",2012,55,"60651000"
"Houston Astros",2013,51,"17890700"
"Houston Astros",2014,70,"35116300"
"Houston Astros",2015,86,"72256200"
"Houston Astros",2016,84,"94893700"
"Kansas City Royals",2000,77,"23433000"
"Kansas City Royals",2001,65,"35422500"
"Kansas City Royals",2002,62,"47257000"
"Kansas City Royals",2003,83,"40518000"
"Kansas City Royals",2004,58,"47609000"
"Kansas City Royals",2005,56,"36881000"
"Kansas City Royals",2006,62,"47294000"
"Kansas City Royals",2007,69,"67116500"
"Kansas City Royals",2008,75,"58245500"
"Kansas City Royals",2009,65,"70519333"
"Kansas City Royals",2010,67,"71405210"
"Kansas City Royals",2011,71,"35712000"
"Kansas City Royals",2012,72,"60916225"
"Kansas City Royals",2013,86,"80091725"
"Kansas City Royals",2014,89,"74594075"
"Kansas City Royals",2015,95,"112107025"
"Kansas City Royals",2016,81,"131487125"
"Los Angeles Angels of Anaheim",2005,95,"94867822"
"Los Angeles Angels of Anaheim",2006,89,"103472000"
"Los Angeles Angels of Anaheim",2007,94,"109251333"
"Los Angeles Angels of Anaheim",2008,100,"119216333"
"Los Angeles Angels of Anaheim",2009,97,"113709000"
"Los Angeles Angels of Anaheim",2010,80,"104963866"
"Los Angeles Angels of Anaheim",2011,86,"138543166"
"Los Angeles Angels of Anaheim",2012,89,"154485166"
"Los Angeles Angels of Anaheim",2013,78,"124174750"
"Los Angeles Angels of Anaheim",2014,98,"121988250"
"Los Angeles Angels of Anaheim",2015,85,"120005415"
"Los Angeles Angels of Anaheim",2016,74,"137251333"
"Los Angeles Dodgers",2000,86,"87924286"
"Los Angeles Dodgers",2001,86,"109105953"
"Los Angeles Dodgers",2002,92,"94850953"
"Los Angeles Dodgers",2003,85,"105572620"
"Los Angeles Dodgers",2004,93,"92902001"
"Los Angeles Dodgers",2005,71,"83039000"
"Los Angeles Dodgers",2006,88,"98447187"
"Los Angeles Dodgers",2007,82,"108454524"
"Los Angeles Dodgers",2008,84,"118588536"
"Los Angeles Dodgers",2009,95,"100414592"
"Los Angeles Dodgers",2010,80,"95358016"
"Los Angeles Dodgers",2011,82,"104188999"
"Los Angeles Dodgers",2012,86,"95143575"
"Los Angeles Dodgers",2013,92,"223362196"
"Los Angeles Dodgers",2014,94,"217014600"
"Los Angeles Dodgers",2015,92,"215792000"
"Los Angeles Dodgers",2016,91,"221288380"
"Miami Marlins",2012,69,"118078000"
"Miami Marlins",2013,62,"33601900"
"Miami Marlins",2014,77,"41836900"
"Miami Marlins",2015,71,"68056500"
"Miami Marlins",2016,79,"77314202"
"Milwaukee Brewers",2000,73,"36505333"
"Milwaukee Brewers",2001,68,"43886833"
"Milwaukee Brewers",2002,56,"50287833"
"Milwaukee Brewers",2003,68,"40627000"
"Milwaukee Brewers",2004,67,"27528500"
"Milwaukee Brewers",2005,81,"39934833"
"Milwaukee Brewers",2006,75,"57568333"
"Milwaukee Brewers",2007,83,"70986500"
"Milwaukee Brewers",2008,90,"80937499"
"Milwaukee Brewers",2009,80,"80182502"
"Milwaukee Brewers",2010,77,"81108278"
"Milwaukee Brewers",2011,96,"85497333"
"Milwaukee Brewers",2012,83,"97653944"
"Milwaukee Brewers",2013,74,"76947033"
"Milwaukee Brewers",2014,82,"101217000"
"Milwaukee Brewers",2015,68,"100850000"
"Milwaukee Brewers",2016,73,"68775237"
"Minnesota Twins",2000,69,"16519500"
"Minnesota Twins",2001,85,"24130000"
"Minnesota Twins",2002,94,"40425000"
"Minnesota Twins",2003,90,"55505000"
"Minnesota Twins",2004,92,"53585000"
"Minnesota Twins",2005,83,"56186000"
"Minnesota Twins",2006,96,"63396006"
"Minnesota Twins",2007,79,"71439500"
"Minnesota Twins",2008,88,"56932766"
"Minnesota Twins",2009,87,"65299266"
"Minnesota Twins",2010,94,"97559166"
"Minnesota Twins",2011,63,"112737000"
"Minnesota Twins",2012,66,"94085000"
"Minnesota Twins",2013,66,"75337500"
"Minnesota Twins",2014,70,"83762500"
"Minnesota Twins",2015,83,"107755000"
"Minnesota Twins",2016,59,"102583200"
"Montreal Expos",2000,67,"32994333"
"Montreal Expos",2001,68,"35159500"
"Montreal Expos",2002,83,"38670500"
"Montreal Expos",2003,83,"51948500"
"Montreal Expos",2004,67,"40897500"
"New York Mets",2000,94,"79509776"
"New York Mets",2001,82,"93174428"
"New York Mets",2002,75,"94633593"
"New York Mets",2003,66,"116876429"
"New York Mets",2004,71,"96660970"
"New York Mets",2005,83,"101305821"
"New York Mets",2006,97,"101084963"
"New York Mets",2007,88,"115231663"
"New York Mets",2008,89,"137793376"
"New York Mets",2009,70,"149373987"
"New York Mets",2010,79,"134422942"
"New York Mets",2011,77,"118847309"
"New York Mets",2012,74,"93353983"
"New York Mets",2013,74,"49448346"
"New York Mets",2014,79,"85556990"
"New York Mets",2015,90,"96766683"
"New York Mets",2016,87,"133889129"
"New York Yankees",2000,87,"92338260"
"New York Yankees",2001,95,"112287143"
"New York Yankees",2002,103,"125928583"
"New York Yankees",2003,101,"152749814"
"New York Yankees",2004,101,"184193950"
"New York Yankees",2005,95,"208306817"
"New York Yankees",2006,97,"194663079"
"New York Yankees",2007,94,"189259045"
"New York Yankees",2008,89,"207896789"
"New York Yankees",2009,103,"201449189"
"New York Yankees",2010,95,"206333389"
"New York Yankees",2011,97,"202275028"
"New York Yankees",2012,95,"196522289"
"New York Yankees",2013,85,"231978886"
"New York Yankees",2014,84,"197543907"
"New York Yankees",2015,87,"212751957"
"New York Yankees",2016,84,"222997792"
"Oakland Athletics",2000,91,"31971333"
"Oakland Athletics",2001,102,"33810750"
"Oakland Athletics",2002,103,"40004167"
"Oakland Athletics",2003,96,"50260834"
"Oakland Athletics",2004,91,"59425667"
"Oakland Athletics",2005,88,"55425762"
"Oakland Athletics",2006,93,"62243079"
"Oakland Athletics",2007,76,"79366940"
"Oakland Athletics",2008,75,"47967126"
"Oakland Athletics",2009,75,"61910000"
"Oakland Athletics",2010,81,"55254900"
"Oakland Athletics",2011,74,"66536500"
"Oakland Athletics",2012,94,"55372500"
"Oakland Athletics",2013,96,"60132500"
"Oakland Athletics",2014,88,"72408400"
"Oakland Athletics",2015,68,"79053501"
"Oakland Athletics",2016,69,"86806234"
"Philadelphia Phillies",2000,65,"47308000"
"Philadelphia Phillies",2001,86,"41663833"
"Philadelphia Phillies",2002,80,"57954999"
"Philadelphia Phillies",2003,86,"70780000"
"Philadelphia Phillies",2004,86,"92919167"
"Philadelphia Phillies",2005,88,"95522000"
"Philadelphia Phillies",2006,85,"88273333"
"Philadelphia Phillies",2007,89,"89428213"
"Philadelphia Phillies",2008,92,"97879880"
"Philadelphia Phillies",2009,93,"113004046"
"Philadelphia Phillies",2010,97,"141928379"
"Philadelphia Phillies",2011,102,"172976379"
"Philadelphia Phillies",2012,81,"174538938"
"Philadelphia Phillies",2013,73,"169863189"
"Philadelphia Phillies",2014,73,"180944967"
"Philadelphia Phillies",2015,63,"111693000"
"Philadelphia Phillies",2016,71,"58980000"
"Pittsburgh Pirates",2000,69,"28928334"
"Pittsburgh Pirates",2001,62,"57760833"
"Pittsburgh Pirates",2002,72,"42323599"
"Pittsburgh Pirates",2003,75,"54812429"
"Pittsburgh Pirates",2004,72,"32227929"
"Pittsburgh Pirates",2005,67,"38133000"
"Pittsburgh Pirates",2006,67,"46717750"
"Pittsburgh Pirates",2007,68,"38537833"
"Pittsburgh Pirates",2008,67,"48689783"
"Pittsburgh Pirates",2009,62,"48693000"
"Pittsburgh Pirates",2010,57,"34943000"
"Pittsburgh Pirates",2011,72,"45047000"
"Pittsburgh Pirates",2012,79,"62951999"
"Pittsburgh Pirates",2013,94,"77062000"
"Pittsburgh Pirates",2014,88,"77178000"
"Pittsburgh Pirates",2015,98,"88892499"
"Pittsburgh Pirates",2016,78,"103778833"
"San Diego Padres",2000,76,"54821000"
"San Diego Padres",2001,79,"39182833"
"San Diego Padres",2002,66,"41425000"
"San Diego Padres",2003,64,"45210000"
"San Diego Padres",2004,87,"55384833"
"San Diego Padres",2005,82,"63290833"
"San Diego Padres",2006,88,"69896141"
"San Diego Padres",2007,89,"58110567"
"San Diego Padres",2008,63,"73677616"
"San Diego Padres",2009,75,"43333700"
"San Diego Padres",2010,90,"37799300"
"San Diego Padres",2011,71,"45869140"
"San Diego Padres",2012,76,"55244700"
"San Diego Padres",2013,76,"65585500"
"San Diego Padres",2014,77,"75685700"
"San Diego Padres",2015,74,"118441300"
"San Diego Padres",2016,68,"101424814"
"San Francisco Giants",2000,97,"53737826"
"San Francisco Giants",2001,90,"63280167"
"San Francisco Giants",2002,95,"78299835"
"San Francisco Giants",2003,100,"82852167"
"San Francisco Giants",2004,91,"82019166"
"San Francisco Giants",2005,75,"90199500"
"San Francisco Giants",2006,76,"90056419"
"San Francisco Giants",2007,71,"90219056"
"San Francisco Giants",2008,72,"76594500"
"San Francisco Giants",2009,88,"83026450"
"San Francisco Giants",2010,92,"98641333"
"San Francisco Giants",2011,86,"118198333"
"San Francisco Giants",2012,94,"117620683"
"San Francisco Giants",2013,76,"140180334"
"San Francisco Giants",2014,88,"163510167"
"San Francisco Giants",2015,84,"164701500"
"San Francisco Giants",2016,87,"172253778"
"Seattle Mariners",2000,91,"58915000"
"Seattle Mariners",2001,116,"74720834"
"Seattle Mariners",2002,93,"80282668"
"Seattle Mariners",2003,93,"86959167"
"Seattle Mariners",2004,63,"81515834"
"Seattle Mariners",2005,69,"87754334"
"Seattle Mariners",2006,78,"87959833"
"Seattle Mariners",2007,88,"106460833"
"Seattle Mariners",2008,61,"117666482"
"Seattle Mariners",2009,85,"98904166"
"Seattle Mariners",2010,61,"86510000"
"Seattle Mariners",2011,67,"86110600"
"Seattle Mariners",2012,75,"81978100"
"Seattle Mariners",2013,71,"74005043"
"Seattle Mariners",2014,87,"92531100"
"Seattle Mariners",2015,76,"122208700"
"Seattle Mariners",2016,86,"135683339"
"St. Louis Cardinals",2000,95,"61453863"
"St. Louis Cardinals",2001,93,"78538333"
"St. Louis Cardinals",2002,97,"74660875"
"St. Louis Cardinals",2003,85,"83786666"
"St. Louis Cardinals",2004,105,"83228333"
"St. Louis Cardinals",2005,100,"92106833"
"St. Louis Cardinals",2006,83,"88891371"
"St. Louis Cardinals",2007,78,"90286823"
"St. Louis Cardinals",2008,86,"99624449"
"St. Louis Cardinals",2009,91,"88528409"
"St. Louis Cardinals",2010,86,"93540751"
"St. Louis Cardinals",2011,90,"105433572"
"St. Louis Cardinals",2012,88,"110300862"
"St. Louis Cardinals",2013,97,"92260110"
"St. Louis Cardinals",2014,90,"120693000"
"St. Louis Cardinals",2015,100,"119241500"
"St. Louis Cardinals",2016,86,"143053500"
"Tampa Bay Devil Rays",2000,69,"62765129"
"Tampa Bay Devil Rays",2001,62,"56980000"
"Tampa Bay Devil Rays",2002,55,"34380000"
"Tampa Bay Devil Rays",2003,63,"19630000"
"Tampa Bay Devil Rays",2004,70,"29556667"
"Tampa Bay Devil Rays",2005,67,"29679067"
"Tampa Bay Devil Rays",2006,61,"34917967"
"Tampa Bay Devil Rays",2007,66,"24123500"
"Tampa Bay Rays",2008,97,"43820597"
"Tampa Bay Rays",2009,84,"63313034"
"Tampa Bay Rays",2010,96,"71923471"
"Tampa Bay Rays",2011,91,"41053571"
"Tampa Bay Rays",2012,90,"64173500"
"Tampa Bay Rays",2013,92,"52955272"
"Tampa Bay Rays",2014,77,"72689100"
"Tampa Bay Rays",2015,80,"64521233"
"Tampa Bay Rays",2016,68,"57097310"
"Texas Rangers",2000,71,"70795921"
"Texas Rangers",2001,73,"88633500"
"Texas Rangers",2002,72,"105526122"
"Texas Rangers",2003,71,"103491667"
"Texas Rangers",2004,89,"55050417"
"Texas Rangers",2005,79,"55849000"
"Texas Rangers",2006,80,"68228662"
"Texas Rangers",2007,75,"68318675"
"Texas Rangers",2008,79,"67712326"
"Texas Rangers",2009,87,"68178798"
"Texas Rangers",2010,90,"55250544"
"Texas Rangers",2011,96,"92299264"
"Texas Rangers",2012,93,"120510974"
"Texas Rangers",2013,91,"112522600"
"Texas Rangers",2014,67,"112255059"
"Texas Rangers",2015,88,"143742789"
"Texas Rangers",2016,95,"176038723"
"Toronto Blue Jays",2000,83,"44838332"
"Toronto Blue Jays",2001,80,"76895999"
"Toronto Blue Jays",2002,78,"76864333"
"Toronto Blue Jays",2003,86,"51269000"
"Toronto Blue Jays",2004,67,"50017000"
"Toronto Blue Jays",2005,80,"45719500"
"Toronto Blue Jays",2006,87,"71365000"
"Toronto Blue Jays",2007,83,"81942800"
"Toronto Blue Jays",2008,86,"97793900"
"Toronto Blue Jays",2009,75,"80538300"
"Toronto Blue Jays",2010,85,"62234000"
"Toronto Blue Jays",2011,81,"62567800"
"Toronto Blue Jays",2012,73,"75009200"
"Toronto Blue Jays",2013,74,"126288100"
"Toronto Blue Jays",2014,83,"109920100"
"Toronto Blue Jays",2015,93,"112992400"
"Toronto Blue Jays",2016,89,"138701700"
"Washington Nationals",2005,81,"48581500"
"Washington Nationals",2006,71,"63143000"
"Washington Nationals",2007,73,"36947500"
"Washington Nationals",2008,59,"54961000"
"Washington Nationals",2009,59,"59928000"
"Washington Nationals",2010,69,"61400000"
"Washington Nationals",2011,80,"63856928"
"Washington Nationals",2012,98,"80855143"
"Washington Nationals",2013,86,"113703270"
"Washington Nationals",2014,96,"131983680"
"Washington Nationals",2015,83,"155587472"
"Washington Nationals",2016,95,"141652646"
